Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
14558,0.3,Ideal,H,SI1,62.2,57.0,4.27,4.31,2.67,450
16356,0.79,Premium,I,SI1,61.8,60.0,5.96,5.92,3.67,2317
6477,1.0,Premium,F,SI1,63.0,60.0,6.34,6.24,3.97,4234
14237,0.33,Ideal,H,VS1,61.9,56.0,4.48,4.44,2.76,743
7237,0.3,Very Good,J,VS1,,61.0,4.33,4.38,2.66,427
3936,0.27,Premium,E,VS1,60.2,59.0,4.2,4.24,2.54,470
8870,0.3,Ideal,G,VVS1,61.5,55.0,4.33,4.35,2.67,764
1808,1.17,Premium,G,SI1,62.6,55.0,6.75,6.7,4.21,7731
7220,1.01,Premium,E,SI2,60.6,58.0,6.53,6.47,3.94,4118
23176,1.53,Premium,G,SI1,58.4,59.0,7.62,7.55,4.43,9476
14512,0.9,Good,G,SI1,64.1,59.4,6.04,6.08,3.88,3816
11752,0.5,Good,D,VS1,64.3,54.0,5.02,5.06,3.24,1795
15569,0.42,Very Good,F,VVS2,61.6,59.0,4.83,4.84,2.98,1131
4938,0.38,Ideal,F,VVS1,,53.0,4.63,4.67,2.9,1096
21134,0.32,Ideal,E,SI2,,55.0,4.36,4.41,2.72,449
21052,0.31,Premium,J,VS1,60.7,60.0,4.39,4.34,2.65,523
7633,1.17,Fair,I,I1,,59.0,6.67,6.47,4.25,2336
7498,0.54,Ideal,E,VS2,61.1,57.0,5.24,5.26,3.21,1825
22082,2.23,Premium,J,SI1,62.1,59.0,8.29,8.33,5.16,13069
9492,0.9,Very Good,J,VS2,61.9,59.0,6.14,6.2,3.82,3119
12707,0.38,Ideal,H,VVS1,61.2,57.0,4.65,4.67,2.85,903
20774,0.78,Ideal,F,SI1,61.0,55.0,6.0,5.96,3.65,3036
3377,0.53,Ideal,G,VVS1,61.2,55.0,5.19,5.23,3.19,2005
26695,0.32,Ideal,H,VVS1,62.2,56.0,4.37,4.38,2.72,730
12866,1.06,Very Good,F,SI1,62.5,58.0,6.46,6.5,4.05,4721
5548,1.1,Ideal,F,VVS1,62.7,57.0,6.57,6.63,4.14,10861
26088,0.38,Ideal,D,VS1,62.0,55.0,4.64,4.68,2.89,1067
4417,0.41,Ideal,G,VS1,61.4,55.0,4.8,4.78,2.94,961
25864,0.51,Ideal,G,VVS1,62.6,57.0,5.08,5.14,3.2,2005
16815,0.41,Very Good,H,SI1,63.3,56.0,4.74,4.71,2.99,876
11467,0.46,Very Good,E,VS1,58.7,60.0,5.08,5.15,3.0,1452
6458,0.44,Ideal,J,VVS2,62.1,55.0,4.88,4.91,3.04,726
26105,0.32,Premium,G,VS1,62.1,55.0,4.44,4.41,2.75,828
4358,0.5,Ideal,F,VS1,62.5,57.0,5.09,5.06,3.17,1838
23089,0.27,Very Good,G,VVS1,61.0,56.0,4.21,4.25,2.57,566
13970,0.4,Premium,I,VVS1,59.5,59.0,4.79,4.76,2.84,1080
20411,0.34,Ideal,D,SI1,60.4,57.0,4.53,4.51,2.73,803
4859,0.5,Very Good,F,SI1,62.3,60.0,5.07,5.11,3.17,1250
17619,0.72,Ideal,H,VVS1,60.8,58.0,5.77,5.8,3.52,3180
23219,0.38,Ideal,F,VS2,61.9,55.0,4.69,4.63,2.89,969
13138,0.71,Very Good,E,SI1,61.1,57.0,5.69,5.73,3.49,2606
13518,0.5,Very Good,E,VS2,63.4,58.0,5.08,5.05,3.21,1583
13071,0.7,Premium,E,VS2,62.4,61.0,5.66,5.63,3.52,2818
25513,1.01,Very Good,H,SI1,62.7,59.0,6.27,6.33,3.95,4242
20170,1.57,Ideal,I,SI1,61.9,55.0,7.38,7.44,4.59,11040
13880,1.01,Ideal,F,VS1,62.5,54.0,6.46,6.43,4.03,7602
18607,0.76,Very Good,F,SI2,62.7,55.0,5.74,5.83,3.63,2469
8564,1.04,Premium,F,SI1,62.5,60.0,6.46,6.43,4.03,5724
13196,0.39,Premium,F,SI1,61.3,62.0,4.71,4.68,2.88,860
19228,0.52,Ideal,I,SI1,61.8,55.0,5.16,5.19,3.2,1074
3979,0.85,Premium,G,SI2,62.0,58.0,6.08,6.04,3.76,2444
9809,1.46,Ideal,G,VS2,62.3,56.0,7.28,7.2,4.51,10302
12690,1.1,Premium,G,SI2,63.0,59.0,6.5,6.47,0.0,3696
18733,0.31,Premium,H,VS1,61.7,61.0,4.34,4.31,2.67,698
11682,0.52,Ideal,E,VVS2,61.8,56.0,5.15,5.18,3.19,2430
11345,0.44,Ideal,G,IF,62.2,53.0,4.9,4.94,3.06,1348
10860,0.71,Fair,D,VS1,65.4,59.0,5.62,5.58,3.66,2747
15262,0.4,Premium,F,SI1,62.3,57.0,4.74,4.67,2.93,945
14578,0.34,Ideal,E,VS1,61.2,55.0,4.52,4.56,2.77,875
18100,0.38,Ideal,G,VS1,61.8,56.0,4.65,4.64,2.87,1069
5535,1.21,Ideal,H,VS2,62.9,57.0,6.8,6.75,4.26,6302
24121,0.8,Premium,J,VS2,62.7,61.0,5.89,5.84,3.68,2045
20557,0.53,Ideal,G,VVS2,60.4,59.0,5.26,5.3,3.19,1946
4432,0.71,Ideal,G,VS1,61.0,57.0,5.77,5.74,3.51,2686
16124,0.9,Very Good,D,SI1,62.4,63.0,6.13,6.04,3.8,3812
13272,0.32,Ideal,E,VS2,61.9,55.0,4.43,4.42,2.74,900
18487,0.33,Premium,E,VS2,60.7,58.0,4.49,4.47,2.72,928
10657,1.44,Premium,I,I1,62.7,55.0,7.21,7.18,4.51,4387
26516,0.5,Very Good,E,VS2,62.8,60.0,5.02,5.08,3.17,1559
12301,0.3,Premium,I,VS1,59.8,60.0,4.36,4.34,2.6,608
6013,0.35,Ideal,G,VVS1,61.0,56.0,4.56,4.59,2.79,887
2509,0.3,Very Good,H,VS1,63.0,59.0,4.21,4.27,2.67,526
11072,0.9,Very Good,H,VS1,63.6,55.0,6.15,6.11,3.9,4685
13289,0.71,Ideal,E,VS2,62.7,57.0,5.66,5.64,3.54,2817
918,0.3,Ideal,I,VVS1,62.4,56.0,4.32,4.3,2.69,709
